"number","title","type","city","author","closedAtUtc","closedAtLocal","week","merged","outcome","url"
"3562","Resources: Update work of hangzhou","Update","hangzhou","rmt-svc","2026/5/29 13:16:34","2026-05-29 13:16:34","2026-05-25","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3562"
"3408","Resources: New work of bucharest","New","bucharest","rmt-svc","2026/5/29 13:27:28","2026-05-29 13:27:28","2026-05-25","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3408"
"2995","Resources: New work of daejeon","New","daejeon","rmt-svc","2026/5/29 13:35:23","2026-05-29 13:35:23","2026-05-25","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/2995"
"2877","Resources: New work of huaian","New","huaian","rmt-svc","2026/5/29 14:02:52","2026-05-29 14:02:52","2026-05-25","True","已合入","https://github.com/railmapgen/rmp-gallery/pull/2877"
"3275","Resources: Update work of mlaga","Update","mlaga","rmt-svc","2026/5/29 14:10:56","2026-05-29 14:10:56","2026-05-25","True","已合入","https://github.com/railmapgen/rmp-gallery/pull/3275"
"2279","Resources: New work of hochiminhcity","New","hochiminhcity","rmt-svc","2026/5/29 14:11:35","2026-05-29 14:11:35","2026-05-25","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/2279"
"1827","Resources: New work of San Francisco","New","San Francisco","rmt-svc","2026/5/29 14:16:55","2026-05-29 14:16:55","2026-05-25","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/1827"
"3590","Resources: Update work of kaohsiung","Update","kaohsiung","rmt-svc","2026/5/30 13:54:59","2026-05-30 13:54:59","2026-05-25","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3590"
"3586","Resources: Update work of hangzhou","Update","hangzhou","rmt-svc","2026/5/30 14:13:44","2026-05-30 14:13:44","2026-05-25","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3586"
"3594","Resources: Update work of hangzhou","Update","hangzhou","rmt-svc","2026/5/30 14:14:21","2026-05-30 14:14:21","2026-05-25","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3594"
"3588","Resources: Update work of suzhou","Update","suzhou","rmt-svc","2026/5/31 6:36:52","2026-05-31 06:36:52","2026-05-25","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3588"
"3596","Resources: Update work of suzhou","Update","suzhou","rmt-svc","2026/5/31 6:43:22","2026-05-31 06:43:22","2026-05-25","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3596"
"3598","Resources: Update work of kaohsiung","Update","kaohsiung","rmt-svc","2026/5/31 6:52:40","2026-05-31 06:52:40","2026-05-25","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3598"
"2818","Resources: Update work of paris","Update","paris","rmt-svc","2026/5/31 7:13:33","2026-05-31 07:13:33","2026-05-25","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/2818"
"3582","Resources: Update work of paris","Update","paris","rmt-svc","2026/5/31 7:17:18","2026-05-31 07:17:18","2026-05-25","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3582"
"3578","Resources: New work of delhi","New","delhi","rmt-svc","2026/5/31 7:33:24","2026-05-31 07:33:24","2026-05-25","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3578"
"3554","Resources: Update work of chongqing","Update","chongqing","rmt-svc","2026/5/31 7:53:25","2026-05-31 07:53:25","2026-05-25","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3554"
"3555","Resources: Update work of chongqing","Update","chongqing","rmt-svc","2026/5/31 7:54:17","2026-05-31 07:54:17","2026-05-25","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3555"
"2839","Resources: Update work of shenzhen","Update","shenzhen","rmt-svc","2026/5/31 11:23:54","2026-05-31 11:23:54","2026-05-25","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/2839"
"3051","Resources: Update work of shenzhen","Update","shenzhen","rmt-svc","2026/5/31 11:54:18","2026-05-31 11:54:18","2026-05-25","True","已合入","https://github.com/railmapgen/rmp-gallery/pull/3051"
"3592","Resources: Update work of shenzhen","Update","shenzhen","rmt-svc","2026/5/31 11:57:08","2026-05-31 11:57:08","2026-05-25","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3592"
"3601","Resources: Update work of shenzhen","Update","shenzhen","rmt-svc","2026/5/31 12:12:40","2026-05-31 12:12:40","2026-05-25","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3601"
"3600","Resources: Update work of hangzhou","Update","hangzhou","rmt-svc","2026/5/31 12:21:47","2026-05-31 12:21:47","2026-05-25","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3600"
"3267","Resources: New work of shaoxing","New","shaoxing","rmt-svc","2026/5/31 12:31:04","2026-05-31 12:31:04","2026-05-25","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3267"
"3175","Resources: Update work of lyon","Update","lyon","rmt-svc","2026/5/31 12:47:10","2026-05-31 12:47:10","2026-05-25","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3175"
"3283","Resources: New work of New York City","New","New York City","rmt-svc","2026/5/31 13:01:27","2026-05-31 13:01:27","2026-05-25","True","已合入","https://github.com/railmapgen/rmp-gallery/pull/3283"
"3305","Resources: Update work of jinhuayiwuanddongyang","Update","jinhuayiwuanddongyang","rmt-svc","2026/6/1 11:30:06","2026-06-01 11:30:06","2026-06-01","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3305"
"3307","Resources: Update work of jinhuayiwuanddongyang","Update","jinhuayiwuanddongyang","rmt-svc","2026/6/1 11:59:18","2026-06-01 11:59:18","2026-06-01","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3307"
"3602","Resources: Update work of jinhuayiwuanddongyang","Update","jinhuayiwuanddongyang","rmt-svc","2026/6/1 12:03:43","2026-06-01 12:03:43","2026-06-01","True","已合入","https://github.com/railmapgen/rmp-gallery/pull/3602"
"3521","Resources: Update work of jinhuayiwuanddongyang","Update","jinhuayiwuanddongyang","rmt-svc","2026/6/1 12:05:18","2026-06-01 12:05:18","2026-06-01","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3521"
"3603","Resources: Update work of jinhuayiwuanddongyang","Update","jinhuayiwuanddongyang","rmt-svc","2026/6/1 12:15:09","2026-06-01 12:15:09","2026-06-01","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3603"
"3558","Resources: Update work of jinhuayiwuanddongyang","Update","jinhuayiwuanddongyang","rmt-svc","2026/6/1 12:16:37","2026-06-01 12:16:37","2026-06-01","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3558"
"3604","Resources: Update work of jinhuayiwuanddongyang","Update","jinhuayiwuanddongyang","rmt-svc","2026/6/1 12:22:40","2026-06-01 12:22:40","2026-06-01","True","已合入","https://github.com/railmapgen/rmp-gallery/pull/3604"
"3474","Resources: New work of algiers","New","algiers","rmt-svc","2026/6/2 12:43:27","2026-06-02 12:43:27","2026-06-01","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3474"
"3606","Resources: Update work of kaohsiung","Update","kaohsiung","rmt-svc","2026/6/2 12:52:58","2026-06-02 12:52:58","2026-06-01","True","已合入","https://github.com/railmapgen/rmp-gallery/pull/3606"
"3608","Resources: Update work of suzhou","Update","suzhou","rmt-svc","2026/6/2 13:10:51","2026-06-02 13:10:51","2026-06-01","True","已合入","https://github.com/railmapgen/rmp-gallery/pull/3608"
"3487","Resources: Update work of nanjing","Update","nanjing","rmt-svc","2026/6/3 7:35:25","2026-06-03 07:35:25","2026-06-01","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3487"
"3612","Resources: Update work of shenzhen","Update","shenzhen","rmt-svc","2026/6/5 12:04:25","2026-06-05 12:04:25","2026-06-01","True","已合入","https://github.com/railmapgen/rmp-gallery/pull/3612"
"3614","Resources: New work of dubai","New","dubai","rmt-svc","2026/6/5 13:22:13","2026-06-05 13:22:13","2026-06-01","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3614"
"3610","Resources: Update work of hangzhou","Update","hangzhou","rmt-svc","2026/6/5 13:56:58","2026-06-05 13:56:58","2026-06-01","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3610"
"3615","Resources: Update work of guangzhou","Update","guangzhou","rmt-svc","2026/6/6 11:03:05","2026-06-06 11:03:05","2026-06-01","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3615"
"3616","Resources: Update work of guangzhou","Update","guangzhou","thekingofcity","2026/6/6 11:11:08","2026-06-06 11:11:08","2026-06-01","True","已合入","https://github.com/railmapgen/rmp-gallery/pull/3616"
"3523","Resources: Update work of guangzhou","Update","guangzhou","rmt-svc","2026/6/6 11:12:25","2026-06-06 11:12:25","2026-06-01","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3523"
"3617","Resources: Update work of guangzhou","Update","guangzhou","rmt-svc","2026/6/6 11:19:48","2026-06-06 11:19:48","2026-06-01","True","已合入","https://github.com/railmapgen/rmp-gallery/pull/3617"
"3535","Resources: Update work of guangzhou","Update","guangzhou","rmt-svc","2026/6/6 11:22:52","2026-06-06 11:22:52","2026-06-01","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3535"
"3618","Resources: Update work of guangzhou","Update","guangzhou","rmt-svc","2026/6/6 11:32:43","2026-06-06 11:32:43","2026-06-01","True","已合入","https://github.com/railmapgen/rmp-gallery/pull/3618"
"3507","Resources: New work of metroningmalines2","New","metroningmalines2","rmt-svc","2026/6/6 12:03:40","2026-06-06 12:03:40","2026-06-01","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3507"
"3173","Resources: Update work of guangdongintercity","Update","guangdongintercity","rmt-svc","2026/6/6 12:22:03","2026-06-06 12:22:03","2026-06-01","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3173"
"3331","Resources: Update work of guangdongintercity","Update","guangdongintercity","rmt-svc","2026/6/6 12:22:28","2026-06-06 12:22:28","2026-06-01","True","已合入","https://github.com/railmapgen/rmp-gallery/pull/3331"
"3365","Resources: Update work of guangdongintercity","Update","guangdongintercity","rmt-svc","2026/6/6 12:22:34","2026-06-06 12:22:34","2026-06-01","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3365"
"3626","Resources: Update work of paris","Update","paris","rmt-svc","2026/6/7 11:55:06","2026-06-07 11:55:06","2026-06-01","False","关闭/未合入","https://github.com/railmapgen/rmp-gallery/pull/3626"
